id,file,node,lineNumber,metadata
line:0d27b8d,D:\AllProject\UnityProjects\TAKANA_Cubic\Assets\Resources\Tutorial\FirstMeet.yarn,FirstMeet,18,lastline
line:0f795fa,D:\AllProject\UnityProjects\TAKANA_Cubic\Assets\Resources\Tutorial\FirstMeet.yarn,FirstMeet,28,lastline
line:0c4af72,D:\AllProject\UnityProjects\TAKANA_Cubic\Assets\Resources\Tutorial\FirstMeet.yarn,FirstMeet,35,lastline
line:0c49133,D:\AllProject\UnityProjects\TAKANA_Cubic\Assets\Resources\Tutorial\FirstMeet.yarn,Introduction,49,lastline
line:0aedb8d,D:\AllProject\UnityProjects\TAKANA_Cubic\Assets\Resources\Tutorial\FirstMeet.yarn,Tutorial,67,lastline
